symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CD99P1	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
DSG3	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	1	0	0	0	0	0	No data	0.2209835382371328	-0.8158203400715391	0	No data	No data	0	0.5	0.5
UTS2	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	1	0	0	0	0	No data	0.4214419670764742	-0.5830037746614042	0	No data	No data	No data	0.5	0.5
CD99P1	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD99P1	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC5A2	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	1	0	1	1	0	0.5238100000000003	1	0.26234632215044806	-0.35088755848518866	0	No data	No data	0	1	0.5
WNK1	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	1	1	0	0.011334999999999696	No data	-0.9611377370285477	-0.9581968222751169	-1	No data	No data	0	-1	-1
BTBD9	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.7875799999999998	No data	-0.054386330485517775	-0.3099206066306684	0	No data	No data	0	-1	-1
PCSK9	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	0	1	1	1	1	0	No data	0.48978953948739323	-0.744774696897267	0	No data	No data	0	1	0.5
PRKCD	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	0	0	1	1	0	0.5192300000000003	No data	-0.921233590331319	-0.8974272034533406	0	-1	No data	-0.11982250000000008	-1	-1
MELK	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	1	0	1	1	0	0.15514500000000025	0	0.40612627630756415	0	0	No data	No data	0	0.5	0
CARD8	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	No data	No data	-0.04042508856011673	No data	0	No data	No data	No data	-1	-1
RPL3L	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.7788699999999998	No data	0.6884767659929152	-0.682043432491502	0	No data	No data	-0.42874750000000006	0.5	0.5
ULK4	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.16470500000000002	No data	0.22733902896436753	-0.8604496357799848	0	No data	No data	0	0.5	0
LINC01101	0.0051741179655858255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC1A3	0.0051535857514366755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	No data	No data	No data	0	0	1	1	0	0.8339500000000001	No data	-0.7832881850385497	-0.34000953053776845	0	No data	No data	-0.1835799999999999	0.75	-1
