Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000215021,PHB2,131,0.52726,86,-0.1522,70,-0.5159,52,-0.9393,99,0.07709,102,0.14600,131,0.53123,102,0.11702
ENSG00000139182,CLSTN3,21,-3.4121,379,1.01438,136,-0.7201,359,0.91864,327,0.75692,217,0.08607,85,-1.3695,190,-0.1332
ENSG00000139197,PEX5,94,1.01492,5,-3.3070,44,-0.2809,33,-0.7023,63,0.32372,46,-0.1906,64,0.36370,74,0.59958
ENSG00000059804,SLC2A3,0,-9.1991,76,-0.1261,69,-0.3055,93,0.19592,103,0.34737,113,0.58501,101,0.32780,89,0.11311
ENSG00000065970,FOXJ2,17,-0.5853,14,-0.9010,22,-0.2190,55,1.29485,24,-0.0619,26,0.08132,27,0.09268,18,-0.5059
ENSG00000089818,NECAP1,32,-2.0990,191,0.68422,95,-0.4997,193,0.69542,123,-0.0462,170,0.56284,127,0.00491,67,-0.9794
ENSG00000166532,RIMKLB,29,-1.0742,21,-1.5227,55,-0.0962,74,0.39722,64,0.16478,56,-0.0586,49,-0.2660,120,1.22820
ENSG00000111752,PHC1,9,-1.1861,12,-0.8617,22,0.15402,9,-1.2430,33,0.78432,29,0.63074,12,-0.8100,28,0.47860
ENSG00000003056,M6PR,49,-0.1424,46,-0.2322,50,-0.1198,61,0.20926,62,0.23292,70,0.47645,43,-0.3545,36,-0.6129
ENSG00000175899,A2M,263,-0.3129,118,-1.5342,224,-0.6208,198,-0.7574,59,-2.5704,135,-1.4374,427,0.46721,1425,2.84201
ENSG00000139112,GABARAPL1,100,-1.4749,381,0.62394,212,-0.3638,425,0.80816,265,0.02610,266,0.03629,327,0.36949,153,-0.8357
ENSG00000060140,STYK1,0,-7.2123,1,-4.0027,25,0.36905,24,0.22551,47,1.40251,28,0.57331,11,-0.9012,16,-0.3734
ENSG00000256537,SMIM10L1,65,0.78276,51,0.36751,34,-0.3028,67,0.83367,38,-0.1102,32,-0.3882,23,-0.8778,28,-0.5704
ENSG00000070018,LRP6,122,2.06615,25,-0.6651,26,-0.6493,27,-0.5205,22,-0.8667,25,-0.7437,30,-0.3878,54,0.57483
ENSG00000111261,MANSC1,16,-1.3016,35,-0.1342,30,-0.4159,72,1.04044,35,-0.1408,37,-0.0711,32,-0.3067,60,0.72208
ENSG00000111269,CREBL2,32,-0.9840,101,0.85117,53,-0.2373,18,-1.8539,73,0.29384,61,0.00220,62,0.03409,93,0.69857
ENSG00000111276,CDKN1B,234,1.60667,130,0.56528,46,-1.1509,53,-0.8473,46,-1.0617,74,-0.3884,85,-0.1283,132,0.59182
ENSG00000013583,HEBP1,66,1.03181,9,-2.0210,22,-0.8261,19,-0.9855,29,-0.2971,31,-0.2438,96,1.72920,30,-0.2571
ENSG00000084444,FAM234B,15,-2.8180,85,-0.2601,70,-0.6293,217,1.30844,61,-0.7670,157,0.85442,109,0.13181,64,-0.7116
ENSG00000273079,GRIN2B,1,-6.7449,84,-0.6687,136,0.09173,121,-0.1061,157,0.31673,225,1.09211,65,-1.0544,142,0.14897
ENSG00000171681,ATF7IP,34,0.12140,24,-0.4173,34,0.11681,54,0.87102,31,-0.0163,34,0.14187,24,-0.4549,13,-1.3052
ENSG00000246705,H2AFJ,101,0.88415,34,-0.8534,45,-0.4939,70,0.25911,60,0.02568,66,0.18759,63,0.08478,44,-0.4520
ENSG00000084463,WBP11,89,0.13953,110,0.48648,55,-0.6690,71,-0.2326,106,0.41588,102,0.41053,71,-0.2125,55,-0.6072
ENSG00000134533,RERG,0,-8.0850,3,-3.4254,28,-0.4919,22,-0.8010,52,0.53850,60,0.89052,44,0.25702,78,1.21995
ENSG00000151490,PTPRO,5,-4.1888,74,-0.2845,73,-0.3291,92,0.07021,151,0.89299,116,0.51717,101,0.21106,81,-0.1433
ENSG00000151491,EPS8,7,-2.1224,2,-3.9190,23,-0.4257,44,0.70326,8,-1.8714,28,-0.0493,84,1.86497,42,0.61636
ENSG00000023734,STRAP,68,-0.9952,281,1.31431,93,-0.5787,141,0.13926,131,0.01353,141,0.15261,79,-0.7796,129,-0.0130
