p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.15173744771423525,0.904,0.856,0,1,COCH
0,0.7141122546014025,0.764,0.729,0,1,SCN4B
0,-0.8438409810604295,0.922,0.957,0,1,PEG10
0,-0.7867517499408105,0.985,0.953,0,1,GFAP
0,0.1903577104424392,0.828,0.804,0,1,KCNAB1
0,-0.12654563523085072,0.846,0.828,0,1,ENC1
0,0.3050227191793513,0.779,0.772,0,1,ADORA2A
0,0.12106300342549403,0.796,0.798,0,1,DGKB
5.955529652729162e-308,-0.8292735660130786,0.29,0.482,1.1774082123445552e-304,1,TRHDE
1.8352120922058815e-307,-0.42027419837842206,0.479,0.664,3.6282143062910276e-304,1,TOB1
6.099588718404698e-307,-0.30574086240933973,0.455,0.648,1.2058886896286087e-303,1,GABRA2
1.4887863812119174e-305,-0.16442169050893063,0.441,0.645,2.9433306756559607e-302,1,CYB561
4.509282265091218e-304,-0.15338551736620587,0.443,0.65,8.914851038085337e-301,1,CDH8
1.9325325217392884e-301,-0.4780127204915996,0.484,0.66,3.8206167954785732e-298,1,CETN2
3.0490699036189187e-301,-0.2958174926815309,0.457,0.64,6.0280111994546025e-298,1,PLPPR3
1.7778754736858666e-300,-0.5647568507385881,0.454,0.634,3.5148598114769585e-297,1,VSTM2L
7.96333188109146e-300,-0.9625737923564467,0.403,0.558,1.5743507128917817e-296,1,PLCXD3
4.353190917998738e-299,-0.16396281513660843,0.439,0.625,8.606258444883505e-296,1,OCIAD2
1.1456438979165827e-298,-0.5155611253334041,0.392,0.55,2.264937986181084e-295,1,FGFR1
4.639299981280249e-298,-0.1612893458585003,0.452,0.662,9.171896062991051e-295,1,CELF3
3.3128664070457955e-297,-0.9281565626917085,0.378,0.562,6.549536886729537e-294,1,MEF2C
3.209243455587478e-296,-0.10268516751408485,0.454,0.667,6.344674311696444e-293,1,HS6ST2
7.703320987822324e-295,0.26280571332261515,0.742,0.758,1.5229465592924735e-291,1,PDE10A
5.098206583805597e-294,-0.589153391045008,0.412,0.553,1.0079154416183665e-290,1,C1ORF194
1.1146153502181826e-291,-0.5728431231704211,0.471,0.668,2.203594547381347e-288,1,HMGCS1
4.4762857431604524e-291,-0.5487049240602524,0.508,0.703,8.849616914228214e-288,1,KCTD12
2.5233827544928265e-290,-0.941000919506092,0.965,0.965,4.988727705632318e-287,1,GNAS
9.84566522421503e-289,-0.7201002814514013,0.379,0.518,1.9464880148273117e-285,1,CFAP44
7.07429930057754e-288,-0.8746509609290759,0.696,0.565,1.3985889717241797e-284,1,HBA2
2.1995729503203767e-287,-0.6491195930389291,0.399,0.54,4.3485557227833845e-284,1,PIFO
1.272812029695459e-286,0.19790130234999337,0.434,0.639,2.5163493827079224e-283,1,RGS9
9.852236466196253e-284,0.12241741095203507,0.428,0.623,1.9477871493669993e-280,1,SCN1B
1.1680950962613665e-283,-0.1092131197732798,0.413,0.544,2.309324005308722e-280,1,FABP6
7.382188486404037e-282,-0.11348366250675257,0.893,0.876,1.4594586637620783e-278,1,CYP46A1
4.560845056169894e-281,-0.42694945182651944,0.426,0.568,9.01679067604788e-278,1,GADD45G
1.3588472809593108e-280,-0.9186763265569189,0.355,0.508,2.6864410744565575e-277,1,ECEL1
3.3598054309091014e-280,0.22368420921521465,0.43,0.633,6.642335336907293e-277,1,B3GNT2
1.0003635227189672e-278,-0.5229475974158856,0.482,0.678,1.9777186844153982e-275,1,CADPS
2.6308443576405546e-278,-0.5878125537170328,0.546,0.734,5.2011792950553766e-275,1,TMEM35A
6.817519959456129e-278,0.18955129432457435,0.431,0.633,1.3478236959844766e-274,1,LRRN1
1.0878211784409824e-277,-0.23615854198856934,0.457,0.663,2.1506224697778223e-274,1,ARMCX2
1.14112502953401e-277,-0.27111557570653444,0.451,0.623,2.2560041833887378e-274,1,GALNT16
5.637092935108846e-277,-0.19711209871702717,0.473,0.666,1.1144532732710188e-273,1,SPTBN4
7.601138708055008e-276,-0.22950708858730562,0.466,0.669,1.502745122582475e-272,1,BAG4
2.4192179238305128e-275,-0.1767377103510177,0.93,0.904,4.782793835412924e-272,1,MXRA7
1.4770754943416416e-273,-1.1991792430822663,0.842,0.868,2.9201782523134256e-270,1,STMN1
1.3745140774439063e-272,-0.52408488213847,0.996,0.994,2.7174143311066026e-269,1,TUBA1A
7.421110567750088e-272,-0.11770838918695481,0.461,0.649,1.4671535592441923e-268,1,PRR7
3.4508050605116687e-270,-0.2920698951402301,0.999,0.999,6.822241604631569e-267,1,HSP90AA1
2.4286037163417985e-268,-0.5997402282825687,0.507,0.661,4.8013495472077354e-265,1,HSPA1B
3.429241498799601e-268,-0.8748331712267166,0.447,0.578,6.779610443126811e-265,1,C11ORF96
9.702590778450971e-268,-0.5614380793078928,0.436,0.593,1.9182021968997569e-264,1,MAP6D1
7.545000103462031e-267,-0.8716081081688853,0.443,0.587,1.4916465204544435e-263,1,DOCK10
8.942542220478984e-267,-0.8504523184583073,0.397,0.533,1.767940596988695e-263,1,ANXA2
9.64765527735967e-263,-0.621258017791652,0.59,0.76,1.9073414483340066e-259,1,DIRAS3
6.224868763687229e-261,0.22823343349351266,0.434,0.634,1.2306565545809651e-257,1,DRD2
2.011517812483385e-259,-0.17006903097446024,0.456,0.646,3.976770715279652e-256,1,DUSP8
3.0236520216925563e-258,0.15375253014443668,0.41,0.555,5.977760046886184e-255,1,ARC
5.488908592963955e-258,-0.3093990380224042,0.491,0.689,1.0851572288289738e-254,1,SCN3A
2.649475191905859e-257,0.444214578291082,0.425,0.622,5.238012454397883e-254,1,ENTPD3
8.14125772343116e-257,0.19943414916411145,0.43,0.626,1.6095266519223404e-253,1,PRKCH
8.991976385746926e-257,-0.1772379043554111,0.467,0.666,1.7777137314621672e-253,1,CALN1
9.178652426455266e-257,-0.13232344179894318,0.459,0.659,1.814619584710206e-253,1,LRATD1
2.2062634326000485e-254,-0.3433269239203949,0.476,0.677,4.361782806250296e-251,1,TMEM181
8.735382612604339e-253,-0.19743143325925827,0.47,0.672,1.7269851425118779e-249,1,GOLGA8A
2.5656622971949127e-251,-0.4283640085748761,0.386,0.516,5.072314361554343e-248,1,ARMC3
1.0003294509056856e-250,0.3227781975426764,0.438,0.638,1.9776513244405405e-247,1,RIC8B
4.1489024153201476e-250,-0.6032427980351759,0.519,0.691,8.202380075087931e-247,1,NAP1L5
1.8322472677117966e-249,-0.4054507528227289,0.501,0.698,3.622352848266222e-246,1,CASD1
1.8379157916207434e-249,-0.45766205581331953,0.499,0.683,3.6335595200342095e-246,1,PBX1
9.140934082087279e-247,-0.5687762456294299,0.559,0.732,1.807162668028655e-243,1,VSTM2A
7.145283919630707e-245,-0.7061827917493995,0.403,0.543,1.4126226309109907e-241,1,ARL4C
1.1514988019867247e-244,-0.38476407056760675,0.486,0.678,2.2765131315277545e-241,1,ZMAT3
1.4224420531699074e-244,-0.5901824999507823,0.394,0.529,2.812167939116907e-241,1,NEK11
1.998803264762574e-239,-0.48466651459004506,0.501,0.659,3.951634054435609e-236,1,PKIG
7.510729168388845e-239,-0.7785820090925386,0.394,0.538,1.4848711565904747e-235,1,LHX6
1.8499297714362357e-238,-1.543526166155524,0.389,0.511,3.657311158129438e-235,1,CFAP52
2.424724623454002e-238,-0.2687721129780294,0.488,0.683,4.793680580568562e-235,1,KCTD4
1.5516326858011569e-235,-0.30803426037866277,0.433,0.568,3.067577819828887e-232,1,FBLN1
5.6699401736739155e-235,-0.4683957659238479,0.422,0.556,1.120947172335333e-231,1,TEAD1
2.5132530080004678e-232,0.20499143994884533,0.449,0.632,4.968701196816925e-229,1,KCNA1
5.5525561030165944e-232,-0.11657533641806272,0.456,0.652,1.0977403415663808e-228,1,TSPYL5
8.063207449631328e-229,-1.0693017055546252,0.391,0.511,1.5940961127921137e-225,1,ECM2
3.7665436010648324e-228,-0.3839658687539701,0.436,0.566,7.446456699305173e-225,1,GADD45B
1.8397849104804256e-227,-0.5784703712246865,0.452,0.565,3.637254768019801e-224,1,MESP1
2.46634884624473e-227,-0.10708720969410734,0.461,0.654,4.875971669025832e-224,1,LPIN2
1.479542816493055e-224,-0.13131404666452529,0.884,0.87,2.9250561482067694e-221,1,C20ORF27
4.461839900514418e-224,-0.3246755014656517,0.486,0.682,8.821057483317004e-221,1,GPRASP2
