p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.16091042951257378,0.858,0.549,0,2,DLGAP1
0,0.12817337931844425,0.825,0.518,0,2,MOB1B
0,0.2874467786123177,0.838,0.531,0,2,RELN
0,0.21580963751416893,0.764,0.458,0,2,FRZB
0,0.17730933812012378,0.878,0.576,0,2,CNR1
0,0.18838948636499908,0.869,0.569,0,2,NRIP3
0,0.5414929626926003,0.867,0.568,0,2,RPH3A
0,0.1200859638210191,0.812,0.516,0,2,IFT57
0,0.27437838844789847,0.826,0.534,0,2,CDK14
0,0.11551607578672662,0.788,0.497,0,2,FOXP2
0,0.17484452145162932,0.874,0.583,0,2,RASD1
0,0.13599151656421604,0.814,0.525,0,2,ZNF711
0,0.22399327107744638,0.782,0.499,0,2,CPNE4
0,0.22609480212814614,0.808,0.525,0,2,PLXNC1
0,0.3258201821178716,0.828,0.545,0,2,TMEM178A
0,0.27577198065226716,0.85,0.568,0,2,DIRAS1
0,0.20006191581624266,0.869,0.588,0,2,SV2B
0,0.1402835256674556,0.887,0.607,0,2,CDH8
0,0.25177044485200395,0.834,0.555,0,2,CMSS1
0,0.2603179527451611,0.876,0.599,0,2,CHMP1B
0,0.122557542681476,0.783,0.506,0,2,GABRA3
0,0.2308865076994635,0.817,0.543,0,2,RNF40
0,0.18788269138677782,0.838,0.565,0,2,NUDT4
0,0.10784969299809188,0.881,0.609,0,2,MYH10
0,0.15669342504626943,0.812,0.54,0,2,TSHZ1
0,0.10184344567306956,0.824,0.554,0,2,FAM210B
0,0.1484400807512979,0.874,0.605,0,2,SLC7A14
0,0.31477419321529065,0.798,0.529,0,2,FBXW7
0,0.2586960774563964,0.78,0.516,0,2,TFRC
0,0.11455551082179176,0.825,0.562,0,2,RGS12
0,0.3021431297929593,0.802,0.542,0,2,PITPNM1
0,0.4212899661717042,0.892,0.634,0,2,NEFM
0,0.16945013422462352,0.887,0.63,0,2,KCNK1
0,0.26023289584053666,0.815,0.558,0,2,RGMB
0,0.1442526958761926,0.864,0.609,0,2,HAGHL
0,0.21299989613199266,0.87,0.616,0,2,SLC6A17
0,0.2849502639575901,0.815,0.561,0,2,SLC26A11
0,0.21072607371322216,0.77,0.522,0,2,TMEM237
0,0.39086887880677224,0.848,0.601,0,2,SLC38A1
0,0.2857331645708306,0.805,0.558,0,2,GRIN2A
0,0.45227771256552507,0.805,0.559,0,2,GNG4
0,0.3960310550030785,0.795,0.55,0,2,AMPH
